Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, T)
no_mig	Round_1_Replicate_1	-249755.57	499517.14	942458.79	128540.34	4.1164,0.3303,0.2229
no_mig	Round_1_Replicate_2	-646839.78	1293685.56	9010253.47	75681.73	2.9078,0.4281,1.5768
no_mig	Round_1_Replicate_3	-341034.59	682075.18	26526037.01	123968.28	1.4407,4.5696,0.147
no_mig	Round_1_Replicate_4	-89587.72	179181.44	236180.28	101343.67	1.4653,0.9083,0.6723
no_mig	Round_1_Replicate_5	-32855.45	65716.9	88163.89	127914.58	0.4422,1.6824,0.3073
no_mig	Round_1_Replicate_6	-312455.2	624916.4	2784735.68	97710.89	0.3537,1.9506,1.0837
no_mig	Round_1_Replicate_7	-84044.73	168095.46	271335.47	133722.34	0.247,4.7013,0.1985
no_mig	Round_1_Replicate_8	-108416.27	216838.54	344604.86	149661.58	0.142,4.6279,0.1241
no_mig	Round_1_Replicate_9	-1203208.58	2406423.16	969422114.79	130775.58	0.3556,0.3586,1.9135
no_mig	Round_1_Replicate_10	-134011.33	268028.66	550114.89	161278.17	0.1144,4.5696,0.0584
no_mig	Round_2_Replicate_1	-29243.55	58493.1	79072.42	110585.21	0.6729,1.7622,0.4823
no_mig	Round_2_Replicate_2	-65386.8	130779.6	197472.44	72275.54	1.5512,3.4121,0.9377
no_mig	Round_2_Replicate_3	-54526.47	109058.94	137706.89	108614.49	1.2116,1.0932,0.495
no_mig	Round_2_Replicate_4	-42482.78	84971.56	114380.09	93000.44	1.1628,1.8864,0.6676
no_mig	Round_2_Replicate_5	-24085.38	48176.76	55848.35	134567.13	0.4713,1.0838,0.3228
no_mig	Round_2_Replicate_6	-48997.36	98000.72	151527.2	94323.35	0.7794,3.3338,0.5719
no_mig	Round_2_Replicate_7	-43564.74	87135.48	129582.72	93514.19	1.0604,2.3965,0.5989
no_mig	Round_2_Replicate_8	-39188.54	78383.08	112746.1	132684.56	0.4208,1.6464,0.2543
no_mig	Round_2_Replicate_9	-74442.56	148891.12	235307.67	66246.08	1.6156,3.2293,1.2004
no_mig	Round_2_Replicate_10	-49347.15	98700.3	121215.03	108356.62	1.1249,1.0966,0.5303
no_mig	Round_3_Replicate_1	-23924.05	47854.1	55960.56	132202.41	0.5041,1.0942,0.341
no_mig	Round_3_Replicate_2	-23924.05	47854.1	55960.85	132202.43	0.5041,1.0943,0.341
no_mig	Round_3_Replicate_3	-23924.05	47854.1	55959.47	132205.56	0.5041,1.0942,0.341
no_mig	Round_3_Replicate_4	-23924.05	47854.1	55960.26	132204.02	0.5041,1.0942,0.341
no_mig	Round_3_Replicate_5	-23924.05	47854.1	55960.65	132202.47	0.5041,1.0942,0.341
no_mig	Round_4_Replicate_1	-23924.05	47854.1	55960.83	132202.15	0.5041,1.0943,0.341
no_mig	Round_4_Replicate_2	-23924.05	47854.1	55959.85	132204.92	0.5041,1.0942,0.341
no_mig	Round_4_Replicate_3	-23924.05	47854.1	55960.81	132202.36	0.5041,1.0943,0.341
no_mig	Round_4_Replicate_4	-23924.05	47854.1	55959.92	132204.58	0.5041,1.0942,0.341
no_mig	Round_4_Replicate_5	-23924.05	47854.1	55959.95	132204.73	0.5041,1.0942,0.341
