Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, T)
no_mig	Round_1_Replicate_1	-33813.25	67632.5	94763.27	102516.27	0.7749,1.867,0.5891
no_mig	Round_1_Replicate_2	-166051.93	332109.86	909443.48	73870.09	1.0685,1.8841,1.5768
no_mig	Round_1_Replicate_3	-49231.35	98468.7	120260.9	111929.43	1.0875,1.0378,0.4856
no_mig	Round_1_Replicate_4	-43976.79	87959.58	111802.28	140774.08	0.2847,1.4221,0.2624
no_mig	Round_1_Replicate_5	-191380.87	382767.74	1143198.27	87591.15	0.7105,1.6201,1.3258
no_mig	Round_1_Replicate_6	-54232.47	108470.94	165585.73	129940.7	0.3522,2.532,0.2465
no_mig	Round_1_Replicate_7	-312891.78	625789.56	1918177.11	133638.28	0.6029,0.4909,0.9411
no_mig	Round_1_Replicate_8	-223712.35	447430.7	4986590.37	131961.53	0.6725,4.5696,0.1343
no_mig	Round_1_Replicate_9	-67163.34	134332.68	239799.85	92811.58	1.5295,1.9994,0.5609
no_mig	Round_1_Replicate_10	-246695.53	493397.06	1714878.47	80059.47	0.4773,3.189,1.2035
no_mig	Round_2_Replicate_1	-45628.34	91262.68	101618.92	142941.4	0.6208,0.6056,0.3041
no_mig	Round_2_Replicate_2	-91694.58	183395.16	306326.1	64868.21	2.4253,3.3674,1.0431
no_mig	Round_2_Replicate_3	-25418.22	50842.44	64481.96	120379.03	0.601,1.412,0.4076
no_mig	Round_2_Replicate_4	-52380.51	104767.02	154976.83	94663.51	1.3403,1.8334,0.586
no_mig	Round_2_Replicate_5	-42874.82	85755.64	110952.57	98419.61	1.1574,1.5395,0.6152
no_mig	Round_2_Replicate_6	-98695.61	197397.22	301061.06	108922.48	0.992,0.8377,0.7566
no_mig	Round_2_Replicate_7	-65258.59	130523.18	170125.16	109550.06	1.3263,1.011,0.4698
no_mig	Round_2_Replicate_8	-87815.44	175636.88	308259.81	62300.9	1.6415,3.2629,1.3995
no_mig	Round_2_Replicate_9	-28010.77	56027.54	59069.6	151262.08	0.3387,0.8237,0.232
no_mig	Round_2_Replicate_10	-41148.93	82303.86	109784.89	94834.8	1.129,1.8027,0.6503
no_mig	Round_3_Replicate_1	-23924.05	47854.1	55960.43	132202.65	0.5041,1.0942,0.341
no_mig	Round_3_Replicate_2	-23924.05	47854.1	55961.14	132201.3	0.5041,1.0943,0.341
no_mig	Round_3_Replicate_3	-23924.05	47854.1	55959.82	132204.75	0.5041,1.0942,0.341
no_mig	Round_3_Replicate_4	-23924.05	47854.1	55960.72	132202.47	0.5041,1.0942,0.341
no_mig	Round_3_Replicate_5	-23924.05	47854.1	55961.29	132201.21	0.5041,1.0943,0.341
no_mig	Round_4_Replicate_1	-23924.05	47854.1	55960.43	132203.37	0.5041,1.0943,0.341
no_mig	Round_4_Replicate_2	-23924.05	47854.1	55959.91	132204.25	0.5041,1.0942,0.341
no_mig	Round_4_Replicate_3	-23924.05	47854.1	55960.95	132202.1	0.5041,1.0943,0.341
no_mig	Round_4_Replicate_4	-23924.05	47854.1	55959.83	132204.92	0.5041,1.0942,0.341
no_mig	Round_4_Replicate_5	-23924.05	47854.1	55960.22	132204.02	0.5041,1.0942,0.341
