Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,m,T1,T2)
sec_contact_sym_mig	Round_1_Replicate_1	-24504.25	49018.5	54058.93	125253.62	0.6438,0.9636,0.1601,0.3193,0.1396
sec_contact_sym_mig	Round_1_Replicate_2	-82243.88	164497.76	307483.71	67793.15	0.5068,2.8173,0.4054,0.5903,1.9902
sec_contact_sym_mig	Round_1_Replicate_3	-281384.1	562778.2	1040263.93	142693.61	2.2121,0.2058,0.8093,0.1099,0.1028
sec_contact_sym_mig	Round_1_Replicate_4	-482763.69	965537.38	6907756.44	72737.2	0.1487,2.97,0.1224,1.98,0.1006
sec_contact_sym_mig	Round_1_Replicate_5	-132456.46	264922.92	972151.01	101639.17	0.868,1.4843,1.519,0.4713,0.2347
sec_contact_sym_mig	Round_1_Replicate_6	-387979.67	775969.34	3179817.16	109533.95	2.8746,0.2137,1.6173,0.4163,0.4901
sec_contact_sym_mig	Round_1_Replicate_7	-410902.14	821814.28	3017703.13	85832.16	0.1606,1.8303,0.1395,1.9398,0.147
sec_contact_sym_mig	Round_1_Replicate_8	-37535.02	75080.04	110857.29	102876.91	0.541,2.25,0.2176,0.0835,0.5601
sec_contact_sym_mig	Round_1_Replicate_9	-50041.85	100093.7	96009.28	240404.76	0.1789,0.3558,1.4054,0.2569,1.9398
sec_contact_sym_mig	Round_1_Replicate_10	-158506.04	317022.08	614029.32	50937.05	0.7101,2.9286,0.0746,1.9943,1.9093
sec_contact_sym_mig	Round_2_Replicate_1	-102173.18	204356.36	294511.22	83719.38	1.6597,0.9262,0.7024,1.1232,0.1608
sec_contact_sym_mig	Round_2_Replicate_2	-84700.32	169410.64	258186.35	80119.95	2.2289,1.8542,0.0299,0.7304,0.0518
sec_contact_sym_mig	Round_2_Replicate_3	-23127.96	46265.92	49665.12	139810.71	0.4596,0.8794,0.1471,0.2713,0.0567
sec_contact_sym_mig	Round_2_Replicate_4	-86564.89	173139.78	244552.53	81562.79	1.7487,1.0871,0.4859,0.9733,0.2265
sec_contact_sym_mig	Round_2_Replicate_5	-37803.75	75617.5	103262.2	78395.91	1.1435,2.4741,0.1562,0.7666,0.2552
sec_contact_sym_mig	Round_2_Replicate_6	-61032.53	122075.06	150656.32	98628.26	0.7648,1.0876,1.4228,1.1377,0.0719
sec_contact_sym_mig	Round_2_Replicate_7	-20389.79	40789.58	46633.52	123985.68	0.5559,1.1563,0.1491,0.148,0.3123
sec_contact_sym_mig	Round_2_Replicate_8	-171190.57	342391.14	593215.26	119683.3	2.4776,0.5382,0.033,0.1463,0.1588
sec_contact_sym_mig	Round_2_Replicate_9	-34476.63	68963.26	86029.44	132121.62	0.5412,0.876,0.0183,0.1969,0.2433
sec_contact_sym_mig	Round_2_Replicate_10	-48909.45	97828.9	142280.06	84084.17	1.1208,2.2989,0.0293,0.8207,0.0369
sec_contact_sym_mig	Round_3_Replicate_1	-19414.4	38838.8	43663.34	123866.52	0.5443,1.101,0.2694,0.1054,0.4076
sec_contact_sym_mig	Round_3_Replicate_2	-19451.99	38913.98	43598.05	124200.78	0.5391,1.0946,0.2572,0.01,0.5037
sec_contact_sym_mig	Round_3_Replicate_3	-19227.37	38464.74	42593.67	125009.7	0.539,1.0716,0.2816,0.2386,0.2644
sec_contact_sym_mig	Round_3_Replicate_4	-31864.5	63739.0	73980.35	123961.66	0.7396,0.9766,0.01,0.01,0.4007
sec_contact_sym_mig	Round_3_Replicate_5	-19186.41	38382.82	42435.44	124348.45	0.5568,1.0958,0.4918,0.4003,0.0824
sec_contact_sym_mig	Round_4_Replicate_1	-19308.32	38626.64	41731.0	129110.09	0.5126,1.0075,0.3631,0.3056,0.1561
sec_contact_sym_mig	Round_4_Replicate_2	-19002.76	38015.52	42611.09	123880.66	0.5468,1.1255,0.3591,0.3496,0.139
sec_contact_sym_mig	Round_4_Replicate_3	-19427.39	38864.78	43643.07	123501.77	0.5448,1.1014,0.2611,0.0606,0.4622
sec_contact_sym_mig	Round_4_Replicate_4	-19205.75	38421.5	42825.79	125293.37	0.5349,1.1279,0.638,0.407,0.0534
sec_contact_sym_mig	Round_4_Replicate_5	-27392.54	54795.08	66575.1	99293.15	0.9035,1.5464,1.998,0.6962,0.0103
