Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,m,T1,T2)
sec_contact_sym_mig	Round_1_Replicate_1	-356480.49	712970.98	1228153.57	109460.97	0.2291,1.0127,0.1759,0.097,1.9161
sec_contact_sym_mig	Round_1_Replicate_2	-523881.43	1047772.86	2322182.15	146201.86	0.1953,0.4586,0.2144,1.2679,0.2168
sec_contact_sym_mig	Round_1_Replicate_3	-95296.59	190603.18	315307.97	69581.78	2.6637,0.8488,0.9613,1.3037,0.2894
sec_contact_sym_mig	Round_1_Replicate_4	-244303.09	488616.18	17898866.85	63702.44	2.9968,2.8926,1.9851,0.3703,0.6403
sec_contact_sym_mig	Round_1_Replicate_5	-65106.87	130223.74	190087.89	78251.17	1.0982,2.7822,0.1212,0.3039,0.6084
sec_contact_sym_mig	Round_1_Replicate_6	-145948.05	291906.1	527183.9	69427.27	1.0909,2.0522,0.2473,1.5,0.1502
sec_contact_sym_mig	Round_1_Replicate_7	-108047.9	216105.8	275054.98	145486.91	0.221,0.8676,1.1552,0.1604,1.1623
sec_contact_sym_mig	Round_1_Replicate_8	-69945.87	139901.74	228055.97	121860.31	1.0655,0.4776,1.7264,0.1308,0.592
sec_contact_sym_mig	Round_1_Replicate_9	-213323.2	426656.4	991800.15	66539.28	2.9286,0.4244,0.9332,1.9943,0.2037
sec_contact_sym_mig	Round_1_Replicate_10	-362589.96	725189.92	1676353.99	60228.21	2.9286,0.3554,0.1662,1.9943,0.9932
sec_contact_sym_mig	Round_2_Replicate_1	-31594.19	63198.38	93147.94	96044.64	0.9467,1.7801,0.5671,0.3575,0.2926
sec_contact_sym_mig	Round_2_Replicate_2	-18231.34	36472.68	39821.7	132300.09	0.6927,0.8041,0.1809,0.0777,0.2057
sec_contact_sym_mig	Round_2_Replicate_3	-31182.45	62374.9	88908.21	90441.96	1.5879,1.7789,0.1795,0.0257,0.5669
sec_contact_sym_mig	Round_2_Replicate_4	-40997.84	82005.68	104842.76	88512.49	1.3028,1.3334,0.1614,0.025,0.8588
sec_contact_sym_mig	Round_2_Replicate_5	-41769.75	83549.5	161972.67	109856.08	0.967,2.0378,0.2662,0.0422,0.2889
sec_contact_sym_mig	Round_2_Replicate_6	-43382.59	86775.18	141193.97	115244.68	0.7375,2.2582,0.1337,0.0567,0.2332
sec_contact_sym_mig	Round_2_Replicate_7	-82437.18	164884.36	255784.95	68631.26	1.6208,2.927,0.0227,0.1195,0.9543
sec_contact_sym_mig	Round_2_Replicate_8	-20881.7	41773.4	53524.17	114892.8	0.9666,1.2729,0.0602,0.2222,0.1268
sec_contact_sym_mig	Round_2_Replicate_9	-30600.06	61210.12	79827.84	88724.56	1.3663,1.74,0.2549,0.5065,0.1933
sec_contact_sym_mig	Round_2_Replicate_10	-68033.17	136076.34	201972.56	62339.62	2.2392,2.2714,0.2353,1.1977,0.1718
sec_contact_sym_mig	Round_3_Replicate_1	-17023.76	34057.52	40222.08	120211.17	0.8521,0.9618,0.384,0.1746,0.208
sec_contact_sym_mig	Round_3_Replicate_2	-18532.75	37075.5	46046.74	123697.13	0.8196,1.0441,0.1364,0.0101,0.2897
sec_contact_sym_mig	Round_3_Replicate_3	-18512.55	37035.1	42460.54	131062.98	0.7423,0.8597,0.042,0.0149,0.2433
sec_contact_sym_mig	Round_3_Replicate_4	-17023.27	34056.54	39990.64	122990.14	0.8201,0.9303,0.3137,0.0527,0.3003
sec_contact_sym_mig	Round_3_Replicate_5	-18169.68	36349.36	40566.83	133109.85	0.6833,0.8266,0.151,0.01,0.2516
sec_contact_sym_mig	Round_4_Replicate_1	-16940.69	33891.38	39024.01	124147.05	0.7984,0.909,0.4213,0.2032,0.1448
sec_contact_sym_mig	Round_4_Replicate_2	-17497.66	35005.32	40531.84	126421.98	0.7889,0.9084,0.1837,0.01,0.2966
sec_contact_sym_mig	Round_4_Replicate_3	-16931.77	33873.54	39086.75	123421.64	0.795,0.9008,0.3718,0.029,0.3416
sec_contact_sym_mig	Round_4_Replicate_4	-16934.11	33878.22	39103.19	123403.93	0.7952,0.9013,0.3704,0.0142,0.3564
sec_contact_sym_mig	Round_4_Replicate_5	-16934.56	33879.12	39083.25	123463.56	0.7943,0.8997,0.372,0.0103,0.3602
