Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,m,T1,T2)
sec_contact_sym_mig	Round_1_Replicate_1	-247426.96	494863.92	18035609.12	54481.99	2.9968,2.8926,1.9851,0.7405,0.7668
sec_contact_sym_mig	Round_1_Replicate_2	-60376.3	120762.6	233764.02	37164.85	2.97,2.97,0.2084,1.98,1.98
sec_contact_sym_mig	Round_1_Replicate_3	-174705.68	349421.36	522811.33	127371.07	0.276,1.6502,0.0823,0.2074,0.1923
sec_contact_sym_mig	Round_1_Replicate_4	-77603.69	155217.38	374501.95	81105.95	0.9447,1.2733,1.4846,0.0958,1.9398
sec_contact_sym_mig	Round_1_Replicate_5	-82003.01	164016.02	264095.61	59076.22	2.6015,1.1858,0.2248,0.2908,1.9161
sec_contact_sym_mig	Round_1_Replicate_6	-186813.97	373637.94	396346.43	116994.59	0.6076,0.3943,0.3108,0.6394,1.8385
sec_contact_sym_mig	Round_1_Replicate_7	-53194.95	106399.9	149435.88	74925.9	1.697,1.1947,0.9296,1.1754,0.2618
sec_contact_sym_mig	Round_1_Replicate_8	-95494.13	190998.26	326481.42	101075.73	0.4556,2.7822,0.7452,0.0768,0.5633
sec_contact_sym_mig	Round_1_Replicate_9	-192962.97	385935.94	682115.53	97889.17	2.5703,0.278,0.8865,0.3286,0.7887
sec_contact_sym_mig	Round_1_Replicate_10	-362126.27	724262.54	1669864.47	104380.45	1.5572,0.3297,0.075,0.5074,0.5346
sec_contact_sym_mig	Round_2_Replicate_1	-43125.85	86261.7	129894.93	69832.31	1.3332,1.6603,0.5826,1.1888,0.5272
sec_contact_sym_mig	Round_2_Replicate_2	-178379.09	356768.18	711295.87	69243.35	2.9615,0.3897,1.9658,1.9046,0.1814
sec_contact_sym_mig	Round_2_Replicate_3	-41108.32	82226.64	93253.39	107372.03	0.9086,0.7644,0.4288,0.3377,0.5947
sec_contact_sym_mig	Round_2_Replicate_4	-43397.11	86804.22	131396.29	69938.35	1.3637,1.8251,0.5627,1.1117,0.4396
sec_contact_sym_mig	Round_2_Replicate_5	-42371.29	84752.58	79955.24	127134.7	0.5004,0.5238,1.1996,0.9165,0.9671
sec_contact_sym_mig	Round_2_Replicate_6	-22403.66	44817.32	53739.3	107504.37	1.0352,1.1834,1.12,0.4702,0.0269
sec_contact_sym_mig	Round_2_Replicate_7	-55388.15	110786.3	117082.32	124632.57	0.6657,0.5607,0.8392,0.6299,0.3038
sec_contact_sym_mig	Round_2_Replicate_8	-54172.98	108355.96	108184.9	135398.93	0.343,0.6256,1.4679,1.4392,1.882
sec_contact_sym_mig	Round_2_Replicate_9	-169268.65	338547.3	434807.29	75670.36	0.4126,1.5385,0.31,1.6192,1.5779
sec_contact_sym_mig	Round_2_Replicate_10	-30561.91	61133.82	67047.57	113936.75	0.6002,0.8489,0.8598,0.146,0.9856
sec_contact_sym_mig	Round_3_Replicate_1	-17382.43	34774.86	39205.37	127062.64	0.7485,0.9036,1.9911,0.3001,0.0145
sec_contact_sym_mig	Round_3_Replicate_2	-16994.12	33998.24	39409.56	122592.52	0.8144,0.9428,0.4285,0.2276,0.1301
sec_contact_sym_mig	Round_3_Replicate_3	-19790.59	39591.18	49544.67	109397.74	1.0042,1.214,1.9458,0.4335,0.0245
sec_contact_sym_mig	Round_3_Replicate_4	-18068.82	36147.64	42553.82	120088.61	0.9447,0.9288,1.9999,0.3414,0.0168
sec_contact_sym_mig	Round_3_Replicate_5	-17178.41	34366.82	39256.4	125921.98	0.7951,0.8964,1.0975,0.2904,0.0277
sec_contact_sym_mig	Round_4_Replicate_1	-16940.18	33890.36	38790.12	125203.8	0.7818,0.8904,0.3672,0.1466,0.1965
sec_contact_sym_mig	Round_4_Replicate_2	-17013.82	34037.64	38975.65	124151.15	0.8037,0.912,0.4908,0.2481,0.0954
sec_contact_sym_mig	Round_4_Replicate_3	-17558.6	35127.2	41954.51	121839.03	0.8457,1.0177,0.3195,0.2474,0.0835
sec_contact_sym_mig	Round_4_Replicate_4	-16917.45	33844.9	39025.45	123600.11	0.7946,0.9018,0.376,0.0922,0.274
sec_contact_sym_mig	Round_4_Replicate_5	-17245.28	34500.56	41363.25	119264.74	0.8473,1.0105,0.3093,0.01,0.3751
