Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,m12,m21,T1,T2)
sec_contact_asym_mig	Round_1_Replicate_1	-596005.14	1192022.28	5937418.81	70557.26	2.9476,0.1843,0.0655,0.2983,1.9576,0.1075
sec_contact_asym_mig	Round_1_Replicate_2	-82813.09	165638.18	199381.94	183645.33	0.562,0.2432,1.9706,1.2535,0.6081,1.9576
sec_contact_asym_mig	Round_1_Replicate_3	-162792.04	325596.08	329659.28	90939.23	0.767,0.5396,0.2126,0.4582,1.9135,0.7891
sec_contact_asym_mig	Round_1_Replicate_4	-107944.98	215901.96	234976.9	100493.08	0.8106,0.3717,0.8071,1.8002,1.9465,0.3093
sec_contact_asym_mig	Round_1_Replicate_5	-197552.98	395117.96	682296.98	129137.27	0.2339,1.526,0.5396,1.4609,0.4699,1.9187
sec_contact_asym_mig	Round_1_Replicate_6	-70173.48	140358.96	305557.71	51624.6	0.8604,2.8297,1.9225,0.2681,1.9946,1.9618
sec_contact_asym_mig	Round_1_Replicate_7	-106766.42	213544.84	329914.12	90715.82	0.6769,1.6687,0.6618,1.9465,1.051,0.1069
sec_contact_asym_mig	Round_1_Replicate_8	-453173.79	906359.58	2755872.15	59007.64	0.2827,2.9476,0.1031,0.1534,1.9576,1.3784
sec_contact_asym_mig	Round_1_Replicate_9	-126690.43	253392.86	1631181.06	59553.39	2.0586,2.8127,1.8927,0.0968,0.1433,1.6019
sec_contact_asym_mig	Round_1_Replicate_10	-146569.49	293150.98	1267093.26	78035.51	2.8255,0.9009,1.9632,0.3245,1.1147,1.3477
sec_contact_asym_mig	Round_2_Replicate_1	-37236.21	74484.42	113332.47	82354.64	1.0695,2.0398,0.5308,0.4608,0.4827,0.4852
sec_contact_asym_mig	Round_2_Replicate_2	-78877.6	157767.2	237249.48	66941.68	0.3901,2.4045,1.9807,0.4179,1.1302,1.9468
sec_contact_asym_mig	Round_2_Replicate_3	-84008.44	168028.88	267712.6	63554.44	0.4318,2.4645,1.9884,0.5448,1.4521,1.915
sec_contact_asym_mig	Round_2_Replicate_4	-57821.42	115654.84	268579.53	55725.8	1.0159,2.5949,1.982,0.0526,1.9908,1.9229
sec_contact_asym_mig	Round_2_Replicate_5	-85219.98	170451.96	318222.01	93460.66	1.3476,0.8772,1.9374,0.1289,1.9789,1.9962
sec_contact_asym_mig	Round_2_Replicate_6	-82983.25	165978.5	460058.57	60155.41	1.0068,2.1679,1.9853,0.5268,1.0953,1.8894
sec_contact_asym_mig	Round_2_Replicate_7	-34108.18	68228.36	84240.42	79874.04	0.9107,1.2255,0.905,0.6665,0.4685,1.7474
sec_contact_asym_mig	Round_2_Replicate_8	-53895.45	107802.9	213193.46	76588.99	1.2196,2.1094,0.6057,0.7662,0.4607,0.6901
sec_contact_asym_mig	Round_2_Replicate_9	-65058.93	130129.86	232658.05	56013.59	0.7115,2.499,1.9743,0.3342,1.9865,1.9719
sec_contact_asym_mig	Round_2_Replicate_10	-52505.04	105022.08	178744.06	53822.64	1.6723,2.2103,0.6322,0.2384,1.8529,0.7228
sec_contact_asym_mig	Round_3_Replicate_1	-16794.64	33601.28	38864.56	123640.2	0.7288,0.9551,0.7361,0.2066,0.1515,0.2222
sec_contact_asym_mig	Round_3_Replicate_2	-30061.9	60135.8	66947.69	75442.0	0.9688,1.1739,0.7393,0.4813,0.7308,1.9946
sec_contact_asym_mig	Round_3_Replicate_3	-19987.73	39987.46	51913.12	105406.78	0.7801,1.2698,1.0783,0.1939,0.039,0.6265
sec_contact_asym_mig	Round_3_Replicate_4	-22806.92	45625.84	52505.62	107374.49	0.6986,0.9883,1.0586,0.4126,0.01,0.964
sec_contact_asym_mig	Round_3_Replicate_5	-18531.89	37075.78	41736.45	127242.71	0.7055,0.8004,0.7148,0.6735,0.1229,0.281
sec_contact_asym_mig	Round_4_Replicate_1	-17713.93	35439.86	42162.3	123741.46	0.8139,0.9995,0.2934,0.01,0.1106,0.202
sec_contact_asym_mig	Round_4_Replicate_2	-18732.45	37476.9	46478.02	117423.44	0.9461,1.1135,0.996,0.01,0.3077,0.0397
sec_contact_asym_mig	Round_4_Replicate_3	-16886.3	33784.6	38977.71	124295.93	0.783,0.9182,0.3625,0.2583,0.0452,0.3033
sec_contact_asym_mig	Round_4_Replicate_4	-16686.1	33384.2	38682.18	123138.53	0.7511,0.949,0.5803,0.2335,0.0902,0.2858
sec_contact_asym_mig	Round_4_Replicate_5	-17207.43	34426.86	41473.25	118463.92	0.8613,1.0444,0.3644,0.2336,0.1412,0.2401
