Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T)
asym_mig	Round_1_Replicate_1	-58049.65	116109.3	156635.07	71344.53	2.6131,1.7092,0.1593,0.0693,1.0026
asym_mig	Round_1_Replicate_2	-230758.52	461527.04	1001011.91	93156.55	0.3237,2.1688,0.2796,0.7054,1.8391
asym_mig	Round_1_Replicate_3	-71546.23	143102.46	196170.76	70929.86	1.53,1.3005,0.1311,0.2137,1.7786
asym_mig	Round_1_Replicate_4	-282237.25	564484.5	38186686.37	130502.98	2.97,2.97,1.98,0.2185,0.0886
asym_mig	Round_1_Replicate_5	-38197.76	76405.52	89044.06	135485.31	1.0385,0.4146,0.1922,1.277,0.2948
asym_mig	Round_1_Replicate_6	-87784.24	175578.48	244711.15	133845.8	0.2171,1.7977,1.8398,0.4658,0.2915
asym_mig	Round_1_Replicate_7	-174835.08	349680.16	616970.33	84039.28	2.8746,0.2952,0.9013,1.2232,1.8287
asym_mig	Round_1_Replicate_8	-164237.64	328485.28	453577.4	154645.06	0.9919,0.1941,0.2723,0.0665,0.2221
asym_mig	Round_1_Replicate_9	-251690.93	503391.86	21219364.95	113900.32	2.97,2.97,1.55,1.98,0.177
asym_mig	Round_1_Replicate_10	-114364.95	228739.9	290417.24	169245.99	0.6356,0.1766,0.5331,0.8193,0.2002
asym_mig	Round_2_Replicate_1	-26144.22	52298.44	64903.37	129007.44	0.8021,0.7039,0.0782,1.6649,0.3858
asym_mig	Round_2_Replicate_2	-37825.65	75661.3	74315.69	169926.17	0.2755,0.3628,0.4298,0.3318,0.1046
asym_mig	Round_2_Replicate_3	-26006.6	52023.2	58879.25	140744.78	0.7014,0.5497,0.1095,1.6827,0.2753
asym_mig	Round_2_Replicate_4	-33417.68	66845.36	70592.97	108463.27	1.1028,0.5624,0.0267,1.7002,1.2019
asym_mig	Round_2_Replicate_5	-25156.17	50322.34	50584.98	133093.31	0.6385,0.6078,0.5547,1.1855,0.5695
asym_mig	Round_2_Replicate_6	-29411.48	58832.96	71658.83	107311.39	1.2328,0.6633,0.04,1.682,0.7796
asym_mig	Round_2_Replicate_7	-25300.6	50611.2	57719.85	124095.94	0.9066,0.5967,0.391,1.47,0.5255
asym_mig	Round_2_Replicate_8	-50251.83	100513.66	232608.6	108904.88	0.9961,2.0065,0.4926,0.4633,0.342
asym_mig	Round_2_Replicate_9	-38746.12	77502.24	84993.2	163354.47	0.3629,0.372,0.0913,0.3128,0.0943
asym_mig	Round_2_Replicate_10	-21825.35	43660.7	48795.3	117465.76	0.7398,0.8351,0.595,0.811,0.663
asym_mig	Round_3_Replicate_1	-20069.93	40149.86	46210.82	117644.79	0.7254,0.8828,0.8244,0.6567,0.6127
asym_mig	Round_3_Replicate_2	-16699.94	33409.88	38754.66	122837.35	0.7413,0.9529,0.622,0.2265,0.3868
asym_mig	Round_3_Replicate_3	-16709.47	33428.94	38914.38	122171.42	0.742,0.9708,0.6378,0.2066,0.3924
asym_mig	Round_3_Replicate_4	-17106.22	34222.44	39604.3	124793.33	0.6847,0.9954,0.7855,0.0109,0.3538
asym_mig	Round_3_Replicate_5	-16715.99	33441.98	39066.75	122262.13	0.7402,0.9782,0.6467,0.1889,0.3875
asym_mig	Round_4_Replicate_1	-16692.57	33395.14	38753.33	122970.97	0.7489,0.954,0.5758,0.2156,0.3785
asym_mig	Round_4_Replicate_2	-16714.8	33439.6	38856.05	123162.77	0.761,0.9504,0.5093,0.2225,0.3691
asym_mig	Round_4_Replicate_3	-16697.69	33405.38	38876.88	122688.5	0.7442,0.9653,0.6085,0.2009,0.3819
asym_mig	Round_4_Replicate_4	-17431.21	34872.42	39541.44	126796.07	0.6278,0.9662,0.9973,0.0103,0.3602
asym_mig	Round_4_Replicate_5	-17877.66	35765.32	41014.7	124993.11	0.6141,1.0007,1.2052,0.01,0.3958
