Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T)
sym_mig	Round_1_Replicate_1	-117454.5	234917.0	1317129.93	118678.17	0.9693,4.6618,0.1701,0.1827
sym_mig	Round_1_Replicate_2	-40901.8	81811.6	128968.81	60408.51	1.6504,2.0763,0.3057,1.9779
sym_mig	Round_1_Replicate_3	-38331.81	76671.62	76441.01	157464.89	0.3947,0.5018,1.7308,0.6215
sym_mig	Round_1_Replicate_4	-66185.14	132378.28	207161.73	111765.57	0.6216,3.7791,0.0655,0.2971
sym_mig	Round_1_Replicate_5	-179962.6	359933.2	584044.95	95562.82	2.2037,0.4267,0.2407,0.9314
sym_mig	Round_1_Replicate_6	-427798.23	855604.46	1628548.31	123525.28	0.6375,0.2765,0.1195,1.9396
sym_mig	Round_1_Replicate_7	-157556.88	315121.76	965424.29	64991.79	4.5867,0.6238,1.0561,1.9927
sym_mig	Round_1_Replicate_8	-277407.64	554823.28	33334595.65	113539.89	4.6618,3.9876,0.9608,0.1629
sym_mig	Round_1_Replicate_9	-121436.65	242881.3	957933.53	43808.08	3.6591,4.0738,0.4189,1.9927
sym_mig	Round_1_Replicate_10	-70034.04	140076.08	457852.21	106238.87	1.7838,1.7305,0.2975,0.3094
sym_mig	Round_2_Replicate_1	-31013.59	62035.18	60993.28	140462.28	0.5245,0.5351,1.1649,0.8163
sym_mig	Round_2_Replicate_2	-55667.54	111343.08	163203.68	139865.97	0.3713,1.384,0.6837,0.1811
sym_mig	Round_2_Replicate_3	-41752.58	83513.16	85679.92	118013.7	0.6899,0.5243,0.872,1.9823
sym_mig	Round_2_Replicate_4	-36709.87	73427.74	101707.62	102057.93	1.6516,0.9195,0.4715,0.5421
sym_mig	Round_2_Replicate_5	-40980.35	81968.7	77095.83	213925.8	0.3014,0.3097,1.9474,1.995
sym_mig	Round_2_Replicate_6	-29275.85	58559.7	64114.5	146548.67	0.6828,0.468,0.4811,0.209
sym_mig	Round_2_Replicate_7	-60762.82	121533.64	228738.79	114322.85	0.9347,0.6863,1.6919,0.787
sym_mig	Round_2_Replicate_8	-42995.29	85998.58	93409.71	106756.5	0.5186,0.9261,0.8233,1.9329
sym_mig	Round_2_Replicate_9	-70961.82	141931.64	281480.11	128068.24	0.429,1.3488,1.7488,0.3835
sym_mig	Round_2_Replicate_10	-64399.04	128806.08	286307.42	63108.06	1.8825,1.8985,0.6644,1.703
sym_mig	Round_3_Replicate_1	-16936.52	33881.04	39169.66	123135.3	0.8004,0.9031,0.3707,0.3727
sym_mig	Round_3_Replicate_2	-17163.15	34334.3	38395.47	128429.45	0.7199,0.8395,0.3834,0.3347
sym_mig	Round_3_Replicate_3	-16935.96	33879.92	39085.92	123341.85	0.7968,0.9012,0.3675,0.371
sym_mig	Round_3_Replicate_4	-16935.29	33878.58	39114.33	123403.45	0.7953,0.9015,0.37,0.3703
sym_mig	Round_3_Replicate_5	-17082.32	34172.64	40005.85	121350.08	0.8102,0.909,0.4493,0.4062
sym_mig	Round_4_Replicate_1	-16935.33	33878.66	39088.9	123438.63	0.7942,0.9002,0.3722,0.3708
sym_mig	Round_4_Replicate_2	-16935.3	33878.6	39104.1	123383.24	0.7951,0.901,0.3718,0.3712
sym_mig	Round_4_Replicate_3	-16935.28	33878.56	39102.77	123413.09	0.7949,0.9014,0.3699,0.3704
sym_mig	Round_4_Replicate_4	-16935.27	33878.54	39099.54	123430.89	0.7948,0.901,0.37,0.3703
sym_mig	Round_4_Replicate_5	-16935.27	33878.54	39100.2	123429.32	0.7948,0.901,0.37,0.3703
